Content_ID,Reaction_Type,Datetime,User_ID,Content_Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50.0000000,5d454588-283d-459d-915d-c48a2cb4c27f,photo,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51.0000000,92b87fa5-f271-43e0-af66-84fac21052e6,photo,Studying,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:58.0000000,163daa38-8b77-48c9-9af6-37a6c1447ac2,photo,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01.0000000,34e8add9-0206-47fd-a501-037b994650a2,photo,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58.0000000,9b6d35f9-5e15-4cd0-a8d7-b1f3340e02c4,photo,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:54.0000000,7918d465-0953-4f20-9e28-539e74c82e2f,photo,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49.0000000,fa3e42f0-71d8-455f-b024-e52d5c27a145,photo,Studying,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:09.0000000,b0c22f82-b882-4394-bf27-6dfadf26e5c2,photo,Studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23.0000000,1932a904-86ba-4438-bb52-b7e6516a4019,photo,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:27.0000000,f50ac030-3af8-4e07-aacf-dccff353b8f6,photo,Studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:53.0000000,b09e3125-2162-443b-bea0-25895b7605bc,photo,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 01:16:21.0000000,b143cd2b-20b1-4e9c-9bb7-cfb359b33d01,photo,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:08.0000000,48e834aa-fd4a-4206-93e8-ac8fdac613bc,photo,Studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:38.0000000,7246fed1-8725-4dbb-bccd-5451346f122d,photo,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 05:09:23.0000000,9664d628-9163-4aae-94e0-311f3bdb2f11,photo,Studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 06:24:11.0000000,2dd186bb-7a28-4e80-99c7-f1936afc7b49,photo,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:57.0000000,f4ed8f9c-5eac-4d77-a206-c60afda2921a,photo,Studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:23.0000000,5d454588-283d-459d-915d-c48a2cb4c27f,photo,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:23.0000000,35d6a1f3-e358-4d4b-8074-05f3b7f35c2a,photo,Studying,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:13.0000000,c64c5004-6ab5-4faa-9fcd-8039fe57799d,photo,Studying,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:06.0000000,4cff698b-def1-497c-a78e-75058de67fe8,photo,Studying,positive,50
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59.0000000,0a1cde57-79ab-4c61-b664-1d3b290b43cf,photo,Studying,positive,60
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:19.0000000,afab7336-04d3-45fe-8917-0327c56e7435,photo,Studying,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:39.0000000,29ba1f29-2e45-41bd-9c43-05d0dae6c1c6,photo,Studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:17.0000000,e74edcea-5db4-4412-a4ce-eb7c5adc314a,photo,Studying,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:42.0000000,69527334-c362-47df-87fc-5e2b5e2605e5,photo,Studying,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 03:57:20.0000000,bc142f57-1307-46c6-9975-8c3a1e5f540c,photo,Studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:12.0000000,d6204684-926d-41db-ae9c-a7bf2e76313a,photo,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:11.0000000,941db1b1-270d-47f8-8a96-43f5a7481f03,photo,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 03:21:13.0000000,163daa38-8b77-48c9-9af6-37a6c1447ac2,photo,Studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24 11:03:43.0000000,568e7c6f-b1e9-4a85-897c-aaaaa0ce8832,photo,Studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:20.0000000,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,photo,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02 03:43:43.0000000,5ad56e97-58f6-4e66-9b8f-5c16358a9a97,photo,Studying,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04 03:06:12.0000000,bcdf88dc-2a52-4716-bc24-a1b46040c8ce,photo,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09 02:49:59.0000000,69532ce2-1ffe-4187-8042-0230d115b24e,photo,Studying,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29 16:00:27.0000000,8f3d5674-544d-4f70-b4c1-7b9d93371855,photo,Studying,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13 07:54:01.0000000,9be473d9-cfdf-4954-bae2-09b0555a8ebb,photo,Studying,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14 05:28:44.0000000,48e26178-5cdd-4568-9990-d3bc5937910b,photo,Studying,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23 10:30:37.0000000,ed5e1675-94a8-482c-8b43-1b9bb71d0495,photo,Studying,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10 09:27:42.0000000,d81dc9d9-a614-40f1-9dd4-7a4a05bac243,photo,Studying,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15 03:59:11.0000000,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,photo,Studying,negative,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25 17:01:58.0000000,ddd079a8-00dd-4aab-9551-11961171db16,photo,healthy eating,negative,10
9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13 00:11:50.0000000,cbc99939-e6a6-4269-9819-bffce6f38751,photo,healthy eating,positive,45
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 18:17:06.0000000,289044c8-e74c-4814-898a-b3b5eba6e46e,photo,healthy eating,neutral,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11 04:53:56.0000000,34e8add9-0206-47fd-a501-037b994650a2,photo,healthy eating,negative,15
